Modo de Envio,Segmento,Cidade,Estado,Código Postal,Região,Categoria,Subcategoria,Vendas,Quantidade,Desconto,Lucro
Primeira Classe,Corporativo,Decatur,Alabama,35601,Sul,Itens de Escritório,Eletrodomésticos,208.16,1,0.0,56.2032
Primeira Classe,Corporativo,Decatur,Alabama,35601,Sul,Itens de Escritório,Ficharios,16.74,3,0.0,8.0352
Classe Padrão,Consumidor,San Francisco,California,94122,Oeste,Itens de Escritório,Arte,14.9,5,0.0,4.172
Classe Padrão,Consumidor,San Francisco,California,94122,Oeste,Itens de Escritório,Armazenamento,21.39,1,0.0,6.2031
Classe Padrão,Corporativo,Durham,North Carolina,27707,Sul,Itens de Escritório,Envelopes,200.984,7,0.2,62.8075
Primeira Classe,Home Office,Chicago,Illinois,60623,Central,Itens de Escritório,Armazenamento,230.376,3,0.2,-48.9549
Segunda Classe,Consumidor,Columbia,South Carolina,29203,Sul,Mobílias,Cadeiras,301.96,2,0.0,33.2156
Classe Padrão,Consumidor,Rochester,Minnesota,55901,Central,Técnologia,Acessórios,19.99,1,0.0,6.7966
Classe Padrão,Consumidor,Rochester,Minnesota,55901,Central,Itens de Escritório,Etiquetas,6.16,2,0.0,2.9568
Segunda Classe,Home Office,Houston,Texas,77095,Central,Itens de Escritório,Armazenamento,158.368,7,0.2,13.8572
Classe Padrão,Corporativo,Los Angeles,California,90036,Oeste,Itens de Escritório,Arte,20.1,3,0.0,6.633
Classe Padrão,Corporativo,Los Angeles,California,90036,Oeste,Técnologia,Telefones,73.584,2,0.2,8.2782
Classe Padrão,Corporativo,Los Angeles,California,90036,Oeste,Itens de Escritório,Papel,6.48,1,0.0,3.1104
Segunda Classe,Consumidor,Minneapolis,Minnesota,55407,Central,Itens de Escritório,Papel,12.96,2,0.0,6.2208
Segunda Classe,Consumidor,Minneapolis,Minnesota,55407,Central,Mobílias,Mobiliário,53.34,3,0.0,16.5354
Segunda Classe,Consumidor,Minneapolis,Minnesota,55407,Central,Itens de Escritório,Ficharios,32.96,2,0.0,16.1504
Classe Padrão,Home Office,Portland,Oregon,97206,Oeste,Itens de Escritório,Ficharios,5.682,1,0.7,-3.788
Segunda Classe,Home Office,New York City,New York,10009,Leste,Mobílias,Mobiliário,96.53,7,0.0,40.5426
Primeira Classe,Consumidor,San Francisco,California,94122,Oeste,Itens de Escritório,Ficharios,51.312,3,0.2,17.9592
Classe Padrão,Corporativo,Saint Paul,Minnesota,55106,Central,Itens de Escritório,Eletrodomésticos,77.88,6,0.0,22.5852
Classe Padrão,Home Office,Chicago,Illinois,60610,Central,Itens de Escritório,Papel,64.624,7,0.2,22.6184
Classe Padrão,Home Office,Chicago,Illinois,60610,Central,Técnologia,Acessórios,95.976,3,0.2,-10.7973
Classe Padrão,Home Office,Chicago,Illinois,60610,Central,Itens de Escritório,Ficharios,1.788,3,0.8,-3.0396
Segunda Classe,Consumidor,Rochester,Minnesota,55901,Central,Itens de Escritório,Papel,23.92,4,0.0,11.7208
Classe Padrão,Consumidor,Aurora,Colorado,80013,Oeste,Técnologia,Acessórios,238.896,6,0.2,-26.8758
Classe Padrão,Consumidor,Aurora,Colorado,80013,Oeste,Mobílias,Mobiliário,102.36,3,0.2,-3.8385
Classe Padrão,Consumidor,Aurora,Colorado,80013,Oeste,Itens de Escritório,Ficharios,36.882,3,0.7,-25.8174
Classe Padrão,Consumidor,Charlotte,North Carolina,28205,Sul,Técnologia,Acessórios,74.112,8,0.2,17.6016
Classe Padrão,Consumidor,Charlotte,North Carolina,28205,Sul,Técnologia,Telefones,27.992,1,0.2,2.0994
Classe Padrão,Consumidor,Charlotte,North Carolina,28205,Sul,Itens de Escritório,Arte,3.304,1,0.2,1.0738
Classe Padrão,Home Office,Orland Park,Illinois,60462,Central,Técnologia,Acessórios,339.96,5,0.2,67.992
Classe Padrão,Corporativo,New York City,New York,10035,Leste,Mobílias,Mobiliário,41.96,2,0.0,10.9096
Classe Padrão,Consumidor,Urbandale,Iowa,50322,Central,Itens de Escritório,Arte,75.96,2,0.0,22.788
Classe Padrão,Consumidor,Urbandale,Iowa,50322,Central,Itens de Escritório,Ficharios,27.24,6,0.0,13.3476
Segunda Classe,Consumidor,Columbus,Ohio,43229,Leste,Itens de Escritório,Fixadores,40.096,14,0.2,14.5348
Segunda Classe,Consumidor,Columbus,Ohio,43229,Leste,Itens de Escritório,Envelopes,4.72,2,0.2,1.652
Segunda Classe,Consumidor,Columbus,Ohio,43229,Leste,Itens de Escritório,Papel,23.976,3,0.2,7.4925
Segunda Classe,Consumidor,Columbus,Ohio,43229,Leste,Itens de Escritório,Envelopes,130.464,6,0.2,44.0316
Classe Padrão,Consumidor,Seattle,Washington,98103,Oeste,Mobílias,Mesas,787.53,3,0.0,165.3813
Classe Padrão,Corporativo,Bristol,Tennessee,37620,Sul,Itens de Escritório,Ficharios,157.794,1,0.7,-115.7156
Primeira Classe,Consumidor,Wilmington,Delaware,19805,Leste,Mobílias,Mobiliário,47.04,3,0.0,18.3456
Primeira Classe,Consumidor,Wilmington,Delaware,19805,Leste,Itens de Escritório,Ficharios,30.84,4,0.0,13.878
Primeira Classe,Consumidor,Wilmington,Delaware,19805,Leste,Itens de Escritório,Armazenamento,226.56,6,0.0,63.4368
Primeira Classe,Consumidor,Wilmington,Delaware,19805,Leste,Itens de Escritório,Envelopes,115.02,9,0.0,51.759
Primeira Classe,Consumidor,Wilmington,Delaware,19805,Leste,Técnologia,Telefones,68.04,7,0.0,19.7316
Segunda Classe,Home Office,Houston,Texas,77041,Central,Mobílias,Cadeiras,600.558,3,0.3,-8.5794
Classe Padrão,Consumidor,Bloomington,Illinois,61701,Central,Mobílias,Mesas,617.7,6,0.5,-407.682
Classe Padrão,Consumidor,Phoenix,Arizona,85023,Oeste,Itens de Escritório,Ficharios,2.388,2,0.7,-1.8308
Classe Padrão,Consumidor,Phoenix,Arizona,85023,Oeste,Itens de Escritório,Armazenamento,243.992,7,0.2,30.499
Segunda Classe,Home Office,Los Angeles,California,90004,Oeste,Mobílias,Cadeiras,81.424,2,0.2,-9.1602
Segunda Classe,Home Office,Los Angeles,California,90004,Oeste,Mobílias,Mobiliário,238.56,3,0.0,26.2416
Primeira Classe,Corporativo,Columbus,Ohio,43229,Leste,Técnologia,Telefones,59.97,5,0.4,-11.994
Primeira Classe,Corporativo,Columbus,Ohio,43229,Leste,Itens de Escritório,Papel,78.304,2,0.2,29.364
Primeira Classe,Corporativo,Columbus,Ohio,43229,Leste,Itens de Escritório,Fixadores,21.456,9,0.2,6.9732
Classe Padrão,Consumidor,Roseville,California,95661,Oeste,Itens de Escritório,Papel,20.04,3,0.0,9.6192
Classe Padrão,Consumidor,Roseville,California,95661,Oeste,Itens de Escritório,Papel,35.44,1,0.0,16.6568
Classe Padrão,Consumidor,Roseville,California,95661,Oeste,Itens de Escritório,Arte,11.52,4,0.0,3.456
Classe Padrão,Consumidor,Roseville,California,95661,Oeste,Itens de Escritório,Fixadores,4.02,2,0.0,1.9698
Classe Padrão,Consumidor,Roseville,California,95661,Oeste,Itens de Escritório,Ficharios,76.176,3,0.2,26.6616
Classe Padrão,Consumidor,Roseville,California,95661,Oeste,Itens de Escritório,Suprimentos,65.88,6,0.0,18.4464
Classe Padrão,Consumidor,Roseville,California,95661,Oeste,Mobílias,Mobiliário,43.12,14,0.0,20.6976
Segunda Classe,Corporativo,Philadelphia,Pennsylvania,19140,Leste,Mobílias,Mobiliário,82.8,2,0.2,10.35
Classe Padrão,Corporativo,San Francisco,California,94122,Oeste,Itens de Escritório,Arte,8.82,3,0.0,2.3814
Classe Padrão,Corporativo,San Francisco,California,94122,Oeste,Itens de Escritório,Envelopes,10.86,3,0.0,5.1042
Classe Padrão,Corporativo,San Francisco,California,94122,Oeste,Itens de Escritório,Papel,143.7,3,0.0,68.976
Classe Padrão,Consumidor,Independence,Missouri,64055,Central,Itens de Escritório,Eletrodomésticos,839.43,3,0.0,218.2518
Classe Padrão,Consumidor,Pasadena,California,91104,Oeste,Itens de Escritório,Armazenamento,671.93,7,0.0,20.1579
Classe Padrão,Home Office,Newark,Ohio,43055,Leste,Mobílias,Mobiliário,93.888,4,0.2,12.9096
Classe Padrão,Corporativo,Franklin,Wisconsin,53132,Central,Técnologia,Telefones,384.45,11,0.0,103.8015
Classe Padrão,Corporativo,Franklin,Wisconsin,53132,Central,Técnologia,Telefones,149.97,3,0.0,5.9988
Classe Padrão,Corporativo,Franklin,Wisconsin,53132,Central,Mobílias,Cadeiras,1951.84,8,0.0,585.552
Classe Padrão,Corporativo,Franklin,Wisconsin,53132,Central,Itens de Escritório,Ficharios,171.55,5,0.0,80.6285
Primeira Classe,Home Office,Scottsdale,Arizona,85254,Oeste,Itens de Escritório,Eletrodomésticos,157.92,5,0.2,17.766
Primeira Classe,Home Office,Scottsdale,Arizona,85254,Oeste,Técnologia,Telefones,203.184,2,0.2,15.2388
Primeira Classe,Corporativo,San Jose,California,95123,Oeste,Itens de Escritório,Papel,58.38,7,0.0,26.271
Primeira Classe,Corporativo,San Jose,California,95123,Oeste,Itens de Escritório,Papel,105.52,4,0.0,48.5392
Primeira Classe,Corporativo,San Jose,California,95123,Oeste,Itens de Escritório,Armazenamento,80.88,6,0.0,21.0288
Classe Padrão,Home Office,Seattle,Washington,98105,Oeste,Itens de Escritório,Arte,6.63,3,0.0,1.7901
Segunda Classe,Consumidor,Seattle,Washington,98115,Oeste,Mobílias,Cadeiras,457.568,2,0.2,51.4764
Classe Padrão,Consumidor,Edmond,Oklahoma,73034,Central,Itens de Escritório,Etiquetas,14.62,2,0.0,6.8714
Classe Padrão,Consumidor,Edmond,Oklahoma,73034,Central,Técnologia,Telefones,944.93,7,0.0,236.2325
Primeira Classe,Consumidor,Los Angeles,California,90045,Oeste,Itens de Escritório,Papel,5.98,1,0.0,2.691
Segunda Classe,Consumidor,Philadelphia,Pennsylvania,19134,Leste,Técnologia,Acessórios,54.384,2,0.2,1.3596
Classe Padrão,Consumidor,Carlsbad,New Mexico,88220,Oeste,Itens de Escritório,Envelopes,28.4,5,0.0,13.348
Classe Padrão,Consumidor,Seattle,Washington,98115,Oeste,Itens de Escritório,Ficharios,27.68,2,0.2,9.688
Classe Padrão,Consumidor,San Antonio,Texas,78207,Central,Itens de Escritório,Arte,9.936,3,0.2,2.7324
Classe Padrão,Consumidor,San Antonio,Texas,78207,Central,Técnologia,Máquinas,8159.952,8,0.4,-1359.992
Classe Padrão,Consumidor,San Antonio,Texas,78207,Central,Itens de Escritório,Armazenamento,275.928,3,0.2,-58.6347
Classe Padrão,Consumidor,San Antonio,Texas,78207,Central,Mobílias,Cadeiras,1740.06,9,0.3,-24.858
Classe Padrão,Consumidor,San Antonio,Texas,78207,Central,Itens de Escritório,Arte,32.064,6,0.2,6.8136
Classe Padrão,Consumidor,San Antonio,Texas,78207,Central,Itens de Escritório,Eletrodomésticos,177.98,5,0.8,-453.849
Classe Padrão,Consumidor,San Antonio,Texas,78207,Central,Técnologia,Telefones,143.976,3,0.2,8.9985
Classe Padrão,Consumidor,Los Angeles,California,90004,Oeste,Itens de Escritório,Papel,20.94,3,0.0,9.8418
Classe Padrão,Consumidor,Los Angeles,California,90004,Oeste,Itens de Escritório,Papel,110.96,2,0.0,53.2608
Classe Padrão,Consumidor,Los Angeles,California,90004,Oeste,Mobílias,Cadeiras,340.144,7,0.2,21.259
Classe Padrão,Corporativo,Chicago,Illinois,60623,Central,Itens de Escritório,Eletrodomésticos,52.448,2,0.8,-131.12
Classe Padrão,Corporativo,Chicago,Illinois,60623,Central,Itens de Escritório,Etiquetas,20.16,4,0.2,6.552
Segunda Classe,Consumidor,Houston,Texas,77036,Central,Itens de Escritório,Eletrodomésticos,97.264,4,0.8,-243.16
Segunda Classe,Consumidor,Newark,Ohio,43055,Leste,Mobílias,Cadeiras,396.802,7,0.3,-11.3372
Segunda Classe,Consumidor,Newark,Ohio,43055,Leste,Itens de Escritório,Suprimentos,15.88,5,0.2,-3.7715
Classe Padrão,Home Office,New York City,New York,10009,Leste,Itens de Escritório,Arte,3.28,1,0.0,1.4104
Segunda Classe,Corporativo,Decatur,Illinois,62521,Central,Itens de Escritório,Armazenamento,24.816,2,0.2,1.8612
Segunda Classe,Corporativo,Decatur,Illinois,62521,Central,Técnologia,Acessórios,408.744,7,0.2,76.6395
Segunda Classe,Home Office,Monroe,Louisiana,71203,Sul,Técnologia,Telefones,503.96,4,0.0,131.0296
Segunda Classe,Home Office,Monroe,Louisiana,71203,Sul,Técnologia,Telefones,149.95,5,0.0,41.986
Segunda Classe,Home Office,Monroe,Louisiana,71203,Sul,Técnologia,Acessórios,29.0,2,0.0,7.25
Classe Padrão,Consumidor,Fairfield,Connecticut,6824,Leste,Itens de Escritório,Ficharios,7.16,2,0.0,3.4368
Classe Padrão,Home Office,Los Angeles,California,90032,Oeste,Técnologia,Acessórios,176.8,8,0.0,22.984
Classe Padrão,Corporativo,Grand Prairie,Texas,75051,Central,Itens de Escritório,Armazenamento,37.224,3,0.2,3.7224
Classe Padrão,Corporativo,Grand Prairie,Texas,75051,Central,Itens de Escritório,Papel,20.016,3,0.2,6.255
Primeira Classe,Home Office,New York City,New York,10035,Leste,Mobílias,Estantes,899.136,4,0.2,112.392
Primeira Classe,Home Office,New York City,New York,10035,Leste,Técnologia,Telefones,71.76,6,0.0,20.0928
Primeira Classe,Home Office,New York City,New York,10035,Leste,Itens de Escritório,Papel,51.84,8,0.0,24.8832
Primeira Classe,Home Office,New York City,New York,10035,Leste,Mobílias,Estantes,626.352,3,0.2,46.9764
Primeira Classe,Home Office,New York City,New York,10035,Leste,Itens de Escritório,Arte,19.9,5,0.0,6.567
Classe Padrão,Corporativo,Redlands,California,92374,Oeste,Itens de Escritório,Envelopes,14.28,7,0.0,6.7116
Classe Padrão,Consumidor,Hamilton,Ohio,45011,Leste,Itens de Escritório,Arte,7.408,2,0.2,1.2038
Classe Padrão,Consumidor,Hamilton,Ohio,45011,Leste,Itens de Escritório,Arte,6.048,3,0.2,1.5876
Classe Padrão,Home Office,Westfield,New Jersey,7090,Leste,Itens de Escritório,Armazenamento,46.26,3,0.0,12.0276
Classe Padrão,Corporativo,Philadelphia,Pennsylvania,19120,Leste,Itens de Escritório,Ficharios,2.946,2,0.7,-2.2586
Classe Padrão,Corporativo,Philadelphia,Pennsylvania,19120,Leste,Itens de Escritório,Papel,16.056,3,0.2,5.8203
Classe Padrão,Consumidor,Akron,Ohio,44312,Leste,Itens de Escritório,Papel,21.744,3,0.2,6.795
Primeira Classe,Consumidor,Denver,Colorado,80219,Oeste,Mobílias,Mesas,218.75,2,0.5,-161.875
Primeira Classe,Consumidor,Denver,Colorado,80219,Oeste,Itens de Escritório,Eletrodomésticos,2.6,1,0.2,0.2925
Segunda Classe,Consumidor,Dallas,Texas,75220,Central,Itens de Escritório,Eletrodomésticos,66.284,2,0.8,-178.9668
Classe Padrão,Corporativo,Franklin,Tennessee,37064,Sul,Mobílias,Mobiliário,35.168,7,0.2,9.6712
Classe Padrão,Consumidor,Whittier,California,90604,Oeste,Técnologia,Telefones,444.768,4,0.2,44.4768
Classe Padrão,Consumidor,Saginaw,Michigan,48601,Central,Itens de Escritório,Armazenamento,83.92,4,0.0,5.8744
Classe Padrão,Consumidor,Saginaw,Michigan,48601,Central,Técnologia,Telefones,131.98,2,0.0,35.6346
Classe Padrão,Consumidor,Saginaw,Michigan,48601,Central,Itens de Escritório,Ficharios,15.92,4,0.0,7.4824
Classe Padrão,Consumidor,Saginaw,Michigan,48601,Central,Itens de Escritório,Fixadores,52.29,9,0.0,16.2099
Classe Padrão,Consumidor,Saginaw,Michigan,48601,Central,Itens de Escritório,Armazenamento,91.99,1,0.0,3.6796
Segunda Classe,Corporativo,Dallas,Texas,75220,Central,Técnologia,Acessórios,20.8,2,0.2,6.5
Classe Padrão,Corporativo,Medina,Ohio,44256,Leste,Itens de Escritório,Etiquetas,23.68,2,0.2,8.88
Classe Padrão,Corporativo,Medina,Ohio,44256,Leste,Mobílias,Estantes,452.45,5,0.5,-244.323
Classe Padrão,Corporativo,Medina,Ohio,44256,Leste,Técnologia,Telefones,62.982,3,0.4,-14.6958
Classe Padrão,Corporativo,Medina,Ohio,44256,Leste,Técnologia,Máquinas,1188.0,9,0.7,-950.4
Classe Padrão,Corporativo,Medina,Ohio,44256,Leste,Técnologia,Acessórios,89.584,2,0.2,4.4792
Classe Padrão,Consumidor,Los Angeles,California,90032,Oeste,Itens de Escritório,Armazenamento,93.06,6,0.0,26.0568
Classe Padrão,Consumidor,Los Angeles,California,90032,Oeste,Técnologia,Telefones,302.376,3,0.2,22.6782
Primeira Classe,Consumidor,Dublin,Ohio,43017,Leste,Itens de Escritório,Fixadores,5.584,2,0.2,1.8148
Primeira Classe,Consumidor,Dublin,Ohio,43017,Leste,Itens de Escritório,Papel,22.704,6,0.2,8.2302
Primeira Classe,Consumidor,Dublin,Ohio,43017,Leste,Itens de Escritório,Ficharios,19.776,4,0.7,-13.8432
Primeira Classe,Consumidor,Dublin,Ohio,43017,Leste,Mobílias,Mobiliário,72.704,4,0.2,19.0848
Primeira Classe,Consumidor,Dublin,Ohio,43017,Leste,Técnologia,Máquinas,479.988,4,0.7,-383.9904
Primeira Classe,Consumidor,Dublin,Ohio,43017,Leste,Itens de Escritório,Arte,27.168,2,0.2,2.7168
Classe Padrão,Corporativo,Detroit,Michigan,48227,Central,Itens de Escritório,Arte,2.2,1,0.0,0.968
Classe Padrão,Corporativo,Detroit,Michigan,48227,Central,Mobílias,Mesas,622.45,5,0.0,136.939
Classe Padrão,Corporativo,Detroit,Michigan,48227,Central,Itens de Escritório,Armazenamento,21.98,1,0.0,0.2198
Classe Padrão,Consumidor,Columbia,Tennessee,38401,Sul,Mobílias,Cadeiras,161.568,2,0.2,-28.2744
Classe Padrão,Consumidor,Columbia,Tennessee,38401,Sul,Mobílias,Cadeiras,389.696,8,0.2,43.8408
Classe Padrão,Corporativo,Charlotte,North Carolina,28205,Sul,Itens de Escritório,Ficharios,18.648,7,0.7,-12.432
Classe Padrão,Home Office,Tampa,Florida,33614,Sul,Mobílias,Mesas,233.86,2,0.45,-102.048
Classe Padrão,Home Office,Tampa,Florida,33614,Sul,Mobílias,Mesas,620.6145,3,0.45,-248.2458
